LAT,LNG,PID,NUM,STR,CITY,ZIP
-98.53309379999999,38.6020326,0051020300000002010,1650,NE 130 AVE,Claflin,67525
-98.49661550000002,38.673258000000004,0050111200000004010,2146,NE 150 AVE,Holyrood,67450
-98.55547055,38.6528852,005014170000000300A,1192,NE 200 RD,Claflin,67525
-98.59059035000001,38.63583435000001,005027250000000100A,1885,NE 100 AVE,Claflin,67525
-98.5359374,38.5891016,005102090000000100A,0000,NE 130 AVE,Claflin,67525
-98.59503825000002,38.605229,0050910100000001000,1677,NE 100 AVE,Claflin,67525
-98.60473114999999,38.60519835,0050910100000002000,0000,NE 90 AVE,Claflin,67525
-98.60438255,38.59803875,0050910100000003000,1618,NE 90 AVE,Claflin,67525
-98.59490620000001,38.59618555,0050910100000004000,000,NE 160 RD,Claflin,67525
-98.5949507,38.5997773,0050910100000005000,0000,NE 100 AVE,Claflin,67525
-98.61429715,38.60514475,0050910200000001000,1671,NE 90 AVE,Claflin,67525
-98.62068585,38.598101850000006,0050910200000004000,000,NE 160 RD,Claflin,67525
-98.6138182,38.598076199999994,0050910200000005000,1611,NE 90 AVE,Claflin,67525
-98.61358685,38.587126600000005,0050911100000001000,1557,NE 90 AVE,Claflin,67525
-98.61582710000002,38.59075325,0050911100000002000,000,NE 160 RD,Claflin,67525
-98.62269515,38.59077925,0050911100000003000,000,NE 160 RD,Claflin,67525
-98.59253955,38.59065605,0050911200000001000,0000,NE 100 AVE,Claflin,67525
-98.59717915000002,38.590676249999994,0050911200000002000,000,NE 160 RD,Claflin,67525
-98.6041554,38.5907061,0050911200000003000,000,NE 160 RD,Claflin,67525
-98.5946547,38.64150325,0050262400000001010,0000,NE 100 AVE,Claflin,67525
-98.55480855,38.61978595000001,0050193200000001010,1779,NE 120 AVE,Claflin,67525
-98.5767712,38.61972250000001,0050193100000001010,0000,NE 180 RD,Claflin,67525
-98.58558355,38.619718500000005,0050193100000002000,0000,NE 180 RD,Claflin,67525
-98.5856294,38.61253950000001,0050193100000003000,0000,NE 170 RD,Claflin,67525
-98.57679365,38.612537800000005,0050193100000004000,0000,NE 170 RD,Claflin,67525
-98.55843279999999,38.6197128,0050193200000001000,0000,NE 120 AVE,Claflin,67525
-98.56750249999999,38.619719950000004,0050193200000002000,1788,NE 110 AVE,Claflin,67525
-98.55838159999999,38.61252730000001,0050193200000004000,0000,NE 120 AVE,Claflin,67525
-98.56748214999999,38.6125344,0050193200000003000,0000,NE 110 AVE,Claflin,67525
-98.48469815000001,38.65159745,0050162400000001000,0000,NE 200 RD,Holyrood,67450
-98.49380810000001,38.6489101,0050162400000003000,0000,NE 200 RD,Holyrood,67450
-98.49380450000001,38.643480350000004,0050162400000004000,0000,NE 150 AVE,Holyrood,67450
-98.49380205,38.6398838,0050162400000005000,0000,NE 190 RD,HOLYROOD,67450
-98.48468175000001,38.64349825000001,0050162400000002000,0000,NE 190 RD,HOLYROOD,67450
-98.52501914999999,38.6707863,0050121000000002000,0000,NE 210 RD,Claflin,67525
-98.55684005,38.6951526,0050130500000002000,0000,CLEVELAND RD,Claflin,67525
-98.55832314999999,38.692767,0050130500000002000,0000,CLEVELAND RD,Claflin,67525
-98.5557991,38.691076200000005,0050130500000001000,0000,CLEVELAND RD,Claflin,67525
-98.5651729,38.692761850000004,0050130500000003000,0000,NE 230 RD,Claflin,67525
-98.56972830000001,38.69275665000001,0050130500000004000,0000,NE 110 AVE,Claflin,67525
-98.5629769,38.685172400000006,0050130500000005000,0000,NE 220 RD,Claflin,67525
-98.57673894999999,38.69277335000001,0050130600000001000,0000,NE 230 RD,HOISINGTON,67544
-98.5834542,38.692774850000006,0050130600000002000,0000,NE 230 RD,HOISINGTON,67544
-98.58784360000001,38.69277395,0050130600000003000,0000,NE 100 AVE,HOISINGTON,67544
-98.5857228,38.68515785,0050130600000004000,0000,NE 100 AVE,HOISINGTON,67544
-98.57690825,38.6851532,0050130600000005000,0000,NE 220 RD,HOISINGTON,67544
-98.57700409999998,38.677838799999996,0050130700000001000,0000,NE 220 RD,HOISINGTON,67544
-98.58580315,38.67966025,0050130700000002000,0000,NE 100 AVE,HOISINGTON,67544
-98.58580320000002,38.676053800000005,0050130700000003000,0000,NE 100 AVE,HOISINGTON,67544
-98.58122924999999,38.670600500000006,0050130700000004000,2144,NE 100 AVE,HOISINGTON,67544
-98.4938038,38.65623785,0050161300000002010,2030,NE 150 AVE,Holyrood,67450
-98.53464735,38.590735550000005,0051021000000002010,1574,NE 130 AVE,Claflin,67525
-98.54458929999998,38.5980506,0051020400000003000,1238,NE 160 RD,Claflin,67525
-98.55842035,38.6016356,0051030500000001000,1198,NE 160 RD,Claflin,67525
-98.56755319999999,38.60164065000001,0051030500000003000,1624,NE 110 AVE,Claflin,67525
-98.57682925,38.605221,0051030600000001000,0000,NE 110 AVE,Claflin,67525
-98.585668,38.6052023,0051030600000002000,0000,NE 170 RD,Claflin,67525
-98.58572715,38.59799220000001,0051030600000003000,1008,NE 160 RD,Claflin,67525
-98.57690410000001,38.59803425,0051030600000004000,0000,NE 160 RD,Claflin,67525
-98.5769804,38.590719699999994,0051030700000001000,0000,NE 160 RD,Claflin,67525
-98.58579095000002,38.5906735,0051030700000002000,0000,NE 160 RD,Claflin,67525
-98.55530375000001,38.59082015,0051030800000001000,1577,NE 120 AVE,Claflin,67525
-98.55849185,38.5907435,0051030800000002000,0000,NE 120 AVE,Claflin,67525
-98.56764935,38.5907458,0051030800000003000,1129,NE 160 RD,Claflin,67525
-98.48462795,38.605316050000006,0051010100000001000,0000,NE 170 RD,Holyrood,67450
-98.49371315000002,38.605310450000005,0051010100000002000,0000,NE 170 RD,Holyrood,67450
-98.49376195,38.598101400000004,0051010100000003000,0000,NE 150 AVE,Claflin,67525
-98.48687990000002,38.5981065,0051010100000004000,0000,NE 160 RD,Claflin,67525
-98.48236215,38.598123300000005,0051010100000005000,0000,NE 160 AVE,Claflin,67525
-98.50763315,38.601711,0051010200000001000,1651,NE 150 AVE,Holyrood,67450
-98.50312275,38.590778799999995,0051011100000001000,1589,NE 150 AVE,Holyrood,67450
-98.48470080000001,38.5907876,0051011200000001000,0000,NE 160 AVE,Claflin,67525
-98.49379865,38.59079075,0051011200000002000,0000,NE 150 AVE,Claflin,67525
-98.52150385000002,38.60528965,0051020300000001000,0000,NE 140 AVE,Claflin,67525
-98.53059295,38.605270450000006,0051020300000002000,1650,NE 130 AVE,Claflin,67525
